Etr,Erot1_in,Erot2_in,Etr_out,Erot1_out,Erot2_out
2.8705028768047574e-21,2.883954203744006e-21,4.696507669279566e-21,7.538932645078543e-21,2.466237224723834e-21,4.463739296242644e-22
7.239664324225477e-21,1.362521497748516e-20,1.6130472574537878e-21,8.31289042047111e-21,3.6446620041165405e-21,1.051938969558044e-20
1.1863535887993908e-21,9.140869705040444e-22,6.345972888262379e-22,9.811899636084876e-22,5.479929073819921e-22,1.2055959925880923e-21
1.1135923994487542e-20,2.0074566009962383e-22,3.57918579837318e-21,8.056802335611574e-21,1.909254219367644e-22,6.666877199408e-21
7.115657366640507e-21,4.441020129412058e-21,8.08941554652646e-21,1.4961031676381147e-20,2.441169602186328e-21,2.2427765278919777e-21
1.714919950397072e-21,8.792772367384747e-22,2.016520255060296e-21,1.4864931105839474e-21,2.86600649800458e-21,2.5810195960721997e-22
4.211836179833226e-21,5.264670700709554e-21,1.2229542347301613e-22,4.369765467476344e-21,1.0222519295692017e-21,4.2072661510167276e-21
7.014240998070302e-21,8.144393261144884e-22,2.2145038142117623e-21,4.637197229394558e-21,1.1316187008673505e-21,4.2747443278889174e-21
1.3009504874690766e-20,5.693995203878972e-22,1.3956218636084076e-22,1.0025782654909956e-20,5.830825669400844e-22,3.109760228777487e-21
5.2376847900344065e-21,1.1292961164471879e-21,5.028453327562172e-21,7.822960367430248e-21,2.762012242635945e-21,8.12087649900643e-22
4.432451692618616e-21,2.991978599062829e-21,3.723516542331824e-21,5.990863147211002e-21,2.3527693843376707e-22,4.921724951835332e-21
1.5081946446003792e-21,4.432820130868706e-21,2.4587755851438208e-23,2.24564004632731e-21,1.6305251428010168e-21,2.089916512006469e-21
9.492502329338604e-21,7.725095240949214e-22,6.197495946068723e-21,1.173439487651524e-20,2.308311118770498e-21,2.4189570013947504e-21
3.111117224296599e-20,3.6290211731140854e-21,1.953183752244778e-21,2.0320798668454528e-20,5.9696308510722925e-21,1.04028206136772e-20
1.5316151702768687e-20,3.1765521844403877e-21,1.756056721279461e-22,1.3226670392598588e-20,7.687691154258066e-22,4.6713174274496045e-21
2.2065107931530637e-21,5.376948017016048e-21,3.3423555498145554e-21,4.693080764628483e-21,5.546704588349456e-21,6.849801302875836e-22
2.5300229158942623e-21,4.0568981760245437e-22,1.9928271713445407e-21,4.3258990355984604e-21,5.789328788377326e-22,2.333564727112728e-23
1.9665401383046514e-21,8.984673027744552e-22,8.962311263889194e-21,5.075525401833937e-21,1.6487197814594985e-21,5.103947858746446e-21
1.5040743379318694e-21,1.6048074626322015e-21,5.039003979959617e-23,2.9631466123865276e-21,1.802832676022509e-22,1.5966610360424502e-23
2.8507179817779265e-20,1.5954407163453048e-20,1.0300445133269098e-20,1.9873596419976992e-20,8.835251116833838e-21,2.605336761840827e-20
5.582935598049276e-21,2.7124121573173334e-21,3.9038093463592563e-23,5.721011044396687e-21,1.6433555332540243e-22,2.4478132800024814e-21
2.012622285944719e-20,5.1558579158929596e-21,3.0631676294672466e-21,1.7862678422744363e-20,1.615932304236095e-21,8.866651832978432e-21
3.1190192470151413e-22,3.3313937332598515e-21,3.4724395225479156e-21,7.893275262222419e-22,7.390567833674114e-22,5.586781114395132e-21
1.2068866427094877e-20,1.974695297657998e-22,5.5345991584125854e-21,1.1613270448835855e-20,4.161785687367135e-21,2.0251048722333057e-21
1.377106776175145e-20,2.942142519819184e-22,5.078782977070042e-22,8.312360266789299e-21,7.978749759789042e-22,5.463962723198167e-21
3.0564562617168735e-21,9.64295202298295e-21,2.4676903660203244e-22,3.2627848444751217e-21,6.860106449778053e-21,2.823681931353729e-21
2.3115031489696942e-21,3.462636979536109e-21,2.4180753515093468e-21,2.7063560291034893e-21,1.0683576026979891e-21,4.417908322523233e-21
2.772100241610663e-21,2.7449070964043556e-21,6.347331261534733e-21,4.135998394587975e-21,4.709073813205208e-21,3.017110922473026e-21
6.270317715965551e-21,1.0404629372128736e-21,5.198490944951814e-22,2.9803581220394223e-21,3.584614440959508e-21,1.2641127021667706e-21
3.478870814171151e-21,3.2141499877501594e-22,4.664217201583452e-21,5.6541253581416725e-21,7.463706038655886e-22,2.0651571691052135e-21
1.3805755655572482e-21,2.676322836497468e-22,2.380671628396241e-21,1.026150857509945e-21,1.406488746056247e-21,1.5951346572991265e-21
3.2896795921044428e-21,7.756475443668357e-21,1.4403122505265145e-21,1.3892615466621846e-21,1.0566584157498012e-20,5.325087698142767e-22
1.2426875011060084e-20,3.061984483997996e-21,1.416126692903725e-20,1.919776700244313e-20,2.7167278710321977e-21,7.735498595728794e-21
4.942035943035434e-21,4.634516652367579e-21,7.913863925436306e-23,8.171851133883263e-21,1.37331386345252e-21,1.1042418180800237e-22
2.9157974419632606e-21,3.5945509759891146e-21,7.181404451816438e-21,2.6259153191860377e-21,6.408883818655137e-21,4.656767499148585e-21
2.0497629893185822e-21,1.5749367108464138e-21,1.1208172791473373e-21,2.8157550150054865e-21,5.603888466909727e-22,1.3690003221365413e-21
4.482525668207037e-21,3.153889677201818e-22,2.5168707275721233e-21,3.7954057004355666e-21,2.1672582177234302e-21,1.3521689290600238e-21
5.32300006926308e-21,7.952017465384166e-22,2.5090521014444773e-21,3.943746531636482e-21,2.587416465363514e-21,2.096156600392904e-21
6.2227163376331e-21,7.307533030010673e-21,1.5769825270574375e-21,6.9463048063246e-21,3.175057474076331e-21,4.984922344268007e-21
4.1059728793559014e-21,2.05528839910174e-21,5.609335924119861e-22,5.176777879459952e-21,6.512405841553685e-22,8.938185123133996e-22
4.29295301449661e-21,3.0816809342087914e-21,4.1929643345497523e-23,5.2841264529215e-21,1.0821477431473675e-21,1.0491950570123695e-21
1.713010613540577e-21,2.957339478013807e-22,2.9978560805056746e-22,8.90937862650513e-22,5.231310413116807e-22,8.945847385079333e-22
3.739785381989452e-21,1.985379684595309e-21,4.775140692438608e-21,4.983542618083985e-21,4.0572614332870255e-21,1.4595466802149816e-21
1.6927452852706676e-20,5.957645976827803e-21,5.56008638445624e-21,1.0160251792924859e-20,5.9103235647135375e-22,1.7693957323939407e-20
1.5241061337106876e-21,4.214261862170235e-21,9.209522138125117e-22,6.0859287404341435e-21,3.443330123802679e-22,2.295241465441346e-22
7.122886671075614e-21,8.910596663049798e-21,1.6534596664329442e-21,1.3907229811366787e-20,3.284746223481363e-21,4.954558055822089e-22
1.1312660711129634e-20,1.0145460256192927e-20,4.030733773500233e-22,1.719061971365186e-20,1.6848240663626763e-21,2.985733918119444e-21
